x  y  frame  time(s)
184 214 1160 19.341376
186 214 1161 19.358050
186 216 1162 19.374723
186 216 1163 19.391397
184 216 1165 19.424744
184 226 1174 19.574806
184 226 1175 19.591480
184 246 1186 19.774890
182 252 1190 19.841584
182 252 1191 19.858258
184 254 1192 19.874931
184 264 1198 19.974973
184 268 1201 20.024994
184 274 1207 20.125035
186 276 1211 20.191730
188 278 1219 20.325118
188 278 1222 20.375139
186 278 1224 20.408486
186 278 1235 20.591896
186 278 1236 20.608570
186 276 1237 20.625243
186 276 1238 20.641917
184 276 1239 20.658590
186 278 1241 20.691938
186 276 1244 20.741958
184 276 1245 20.758632
184 276 1246 20.775306
186 278 1247 20.791979
186 276 1249 20.825326
186 276 1250 20.842000
186 276 1251 20.858674
188 274 1253 20.892021
190 268 1260 21.008736
192 262 1265 21.092104
196 246 1272 21.208819
196 242 1273 21.225493
200 234 1277 21.292187
200 232 1278 21.308861
204 226 1281 21.358882
206 218 1285 21.425576
208 216 1286 21.442250
208 210 1290 21.508944
208 204 1291 21.525618
208 204 1292 21.542291
212 204 1293 21.558965
212 202 1294 21.575638
212 198 1297 21.625659
214 194 1299 21.659006
214 194 1300 21.675680
214 194 1301 21.692354
216 192 1319 21.992478
214 194 1320 22.009152
216 192 1321 22.025826
216 192 1322 22.042499
214 192 1327 22.125867
214 192 1328 22.142541
214 194 1329 22.159214
214 194 1330 22.175888
212 194 1333 22.225909
212 192 1336 22.275930
214 194 1343 22.392645
212 200 1350 22.509360
212 200 1351 22.526034
214 202 1353 22.559381
214 208 1359 22.659422
214 208 1360 22.676096
214 212 1362 22.709443
214 212 1363 22.726117
212 214 1364 22.742790
212 214 1365 22.759464
214 218 1367 22.792811
214 220 1370 22.842832
214 222 1371 22.859506
214 222 1372 22.876179
212 228 1379 22.992894
212 230 1380 23.009568
212 230 1381 23.026242
212 234 1386 23.109610
214 234 1387 23.126283
214 234 1388 23.142957
212 234 1389 23.159630
212 236 1391 23.192978
214 234 1392 23.209651
214 234 1393 23.226325
214 236 1399 23.326366
212 236 1405 23.426408
212 236 1406 23.443082
212 236 1409 23.493102
212 236 1410 23.509776
214 234 1411 23.526450
216 234 1417 23.626491
216 234 1418 23.643165
214 232 1425 23.759880
214 232 1426 23.776554
212 234 1427 23.793227
212 234 1433 23.893269
212 236 1434 23.909942
212 236 1435 23.926616
212 236 1436 23.943290
212 234 1440 24.009984
212 236 1444 24.076678
212 236 1445 24.093352
212 236 1446 24.110026
212 236 1447 24.126699
212 238 1450 24.176720
212 236 1458 24.310109
212 236 1459 24.326782
212 240 1461 24.360130
212 240 1465 24.426824
212 240 1466 24.443498
212 244 1474 24.576886
212 244 1476 24.610234
212 244 1477 24.626907
212 246 1478 24.643581
212 250 1485 24.760296
212 256 1491 24.860338
212 256 1495 24.927032
210 258 1496 24.943706
210 258 1497 24.960379
210 258 1498 24.977053
214 260 1499 24.993726
212 262 1504 25.077094
212 264 1507 25.127115
212 262 1513 25.227157
212 262 1514 25.243830
